"wavelength_nm","otc_arbunits","lamp_arbunits","absorbance"
683.154,32698.486,34436.762,0.02249465
683.494,32746.522,34456.575,0.02210693
683.833,32675.263,34401.936,0.02236378
684.173,32451.415,34188.638,0.02264817
684.513,32377.072,34095.464,0.02245903
684.852,32237.23,33989.201,0.02298324
685.192,32132.968,33890.909,0.02313238
685.532,32022.624,33741.125,0.02270265
685.871,31916.052,33571.65,0.02196353
686.211,31789.116,33453.03,0.022157
686.551,31770.417,33387.376,0.02155937
686.89,31651.012,33295.328,0.02199571
687.23,31437.322,33076.889,0.02207912
687.57,31276.631,32919.205,0.02222937
687.909,31159.824,32767.849,0.02185294
688.249,31172.631,32723.587,0.02108745
688.589,30983.115,32623.498,0.02240545
688.929,30976.914,32522.607,0.02114719
689.268,30554.644,32126.778,0.02178996
689.608,30745.114,32321.82,0.0217197
689.948,30525.676,32150.255,0.02251914
690.287,30424.004,32041.903,0.02250193
690.627,30441.886,32006.715,0.02176956
690.967,30264.145,31856.978,0.02227616
691.306,30213.388,31815.684,0.02244183
691.646,30028.517,31536.018,0.02127296
691.986,29866.745,31391.884,0.02162949
692.325,29853.881,31372.019,0.02154168
692.665,29778.209,31244.227,0.02087121
693.005,29635.226,31122.3,0.02126344
693.344,29288.894,30733.062,0.02090285
693.684,29323.183,30765.609,0.0208544
694.024,29192.746,30657.735,0.02126512
694.364,29100.727,30533.575,0.02087382
694.703,29081.667,30503.802,0.02073468
695.043,29066.026,30577.756,0.02201995
695.383,28842.171,30263.238,0.02088744
695.722,28820.7,30227.03,0.02069094
696.062,28598.536,29974.219,0.02040407
696.402,28520.395,29963.007,0.02142986
696.741,28461.655,29890.746,0.02127661
697.081,28345.306,29729.841,0.02071144
697.421,28209.027,29664.52,0.02184922
697.76,28135.043,29539.672,0.02115809
698.1,28094.144,29474.251,0.02082697
698.44,27971.721,29346.226,0.02083307
698.779,27773.472,29127.393,0.02067144
699.119,27709.036,29057.644,0.02063898
699.459,27653.897,29043.299,0.0212896
699.799,27494.628,28930.714,0.02211131
700.138,27478.328,28835.529,0.02093762
700.478,27422.259,28732.347,0.02026788
700.818,27268.644,28580.929,0.0204128
701.157,27318.803,28629.597,0.02035356
701.497,27049.493,28390.004,0.02100632
701.837,26951.891,28301.029,0.02121298
702.176,26900.81,28211.698,0.02066387
702.516,26806.825,28169.482,0.02153349
702.856,26729.891,28054.066,0.02099863
703.195,26703.475,28015.882,0.02083652
703.535,26651.858,27956.413,0.02075395
703.875,26448.026,27723.818,0.02045978
704.214,26318.684,27536.479,0.01964425
704.554,26193.252,27457.02,0.02046399
704.894,26119.457,27440.715,0.02143129
705.234,26006.878,27259.453,0.0204289
705.573,25855.174,27148.322,0.02119552
705.913,25960.769,27219.908,0.02056909
706.253,25924.949,27180.47,0.02053905
706.592,25737.559,26923.927,0.01957105
706.932,25585.841,26848.158,0.02091479
707.272,25551.95,26773.918,0.02028788
707.611,25465.57,26679.82,0.02022949
707.951,25408.435,26626.388,0.02033433
708.291,25290.514,26538.563,0.02091975
708.63,25118.359,26356.419,0.02089515
708.97,25061.28,26291.848,0.02081787
709.31,25026.912,26262.877,0.02093504
709.65,24907.12,26131.444,0.0208399
709.989,24847.641,26045.437,0.02044648
710.329,24781.12,25972.128,0.02038659
710.669,24590.543,25874.363,0.02210154
711.008,24485.808,25739.429,0.02168446
711.348,24476.307,25676.411,0.02078843
711.688,24393.889,25550.123,0.02011195
712.027,24286.327,25478.646,0.0208145
712.367,24232.127,25429.286,0.02094264
712.707,24114.533,25311.533,0.02103959
713.046,24004.355,25213.776,0.02134785
